nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Colley,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Gori,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Jovic,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
LAERKE,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
LONTANI,Parma,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Rao,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Spinaccè,Inter,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1
Vigliotti,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Vinciati,Udinese,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
Nicolás Paz,Como,C,20,35,2878,12,6,8.9,7.03,5,0,59,1.339,79,True,match su cognome+squadra,1.07,"nome completo -- titolarita' 94%, minuti giocati 84% del possibile; 2.6 tackle+intercetti/90",84
Scott McTominay,Napoli,C,28,33,2791,10,3,12.43,2.01,1,0,60,1.232,74,True,match su cognome+squadra,1.007,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 1.2 tackle+intercetti/90",75
Hakan Çalhanoğlu,Inter,C,31,22,1639,9,4,5.15,3.48,7,0,60,1.165,70,True,match su cognome+squadra,1.007,"nome completo -- titolarita' 91%, minuti giocati 48% del possibile; 2.0 tackle+intercetti/90",71
Christian Pulisic,Milan,C,26,30,1609,8,4,9.54,5.04,0,0,57,1.192,68,True,match su cognome+squadra,0.925,"nome completo -- titolarita' 60%, minuti giocati 47% del possibile; 0.6 tackle+intercetti/90",63
Nikola Vlašić,Torino,C,27,37,3043,8,3,7.41,4.68,7,0,52,1.195,62,True,match su cognome+squadra,1.044,"nome completo -- titolarita' 97%, minuti giocati 89% del possibile; 1.8 tackle+intercetti/90",65
Riccardo Orsolini,Bologna,C,28,35,2111,10,1,10.89,1.71,2,0,53,1.164,62,True,match su cognome+squadra,0.963,"nome completo -- titolarita' 74%, minuti giocati 62% del possibile; 0.9 tackle+intercetti/90",60
Nicolò Zaniolo,Udinese,C,26,32,2257,5,6,6.14,5.69,8,0,48,1.182,57,True,match su cognome+squadra,0.981,"nome completo -- titolarita' 88%, minuti giocati 66% del possibile; 1.0 tackle+intercetti/90",56
Lucas Da Cunha,Como,C,24,36,2739,6,4,6.93,6.02,4,0,45,1.182,53,True,match su cognome+squadra,1.02,"nome completo -- titolarita' 86%, minuti giocati 80% del possibile; 1.7 tackle+intercetti/90",54
Adrien Rabiot,Milan,C,30,29,2550,6,4,4.36,3.94,6,1,46,1.132,52,True,match su cognome+squadra,1.03,"nome completo -- titolarita' 97%, minuti giocati 75% del possibile; 1.8 tackle+intercetti/90",54
Weston McKennie,Juventus,C,26,36,2835,5,5,8.64,5.39,5,0,42,1.193,50,True,match su cognome+squadra,1.021,"nome completo -- titolarita' 89%, minuti giocati 83% del possibile; 1.6 tackle+intercetti/90",51
Nicolò Barella,Inter,C,28,34,2517,3,8,3.82,7.97,7,0,40,1.199,48,True,match su cognome+squadra,1.009,"nome completo -- titolarita' 91%, minuti giocati 74% del possibile; 1.4 tackle+intercetti/90",48
Martin Baturina,Como,C,22,29,1569,6,3,1.9,6.7,0,0,44,1.102,48,True,match su cognome+squadra,0.941,"nome completo -- titolarita' 59%, minuti giocati 46% del possibile; 1.1 tackle+intercetti/90",45
Lorenzo Pellegrini,Roma,C,29,24,1463,4,2,4.78,3,2,0,46,1.04,48,True,match su cognome+squadra,0.966,"nome completo -- titolarita' 83%, minuti giocati 43% del possibile; 1.2 tackle+intercetti/90",46
Francisco Conceição,Juventus,C,22,31,2078,3,5,8.49,4.16,3,0,41,1.133,46,True,match su cognome+squadra,0.993,"nome completo -- titolarita' 87%, minuti giocati 61% del possibile; 1.4 tackle+intercetti/90",46
