nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Geubbels,Lecce,A,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,16
Nicolás González,Juventus,A,27,2,19,0,0,0.08,0.04,0,0,18,0.861,15,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",13
Sandro Kulenović,Torino,A,25,13,300,0,1,0.85,0.34,2,0,17,0.875,15,True,match su cognome+squadra,0.894,"nome completo -- titolarita' 23%, minuti giocati 9% del possibile",13
Cuesta,Parma,A,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15
Varela,Monza,A,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,14
Pisacane,Cagliari,A,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,14
Vakoun Bayo,Udinese,A,28,15,453,0,2,1.33,0.73,0,0,15,0.887,13,True,match su cognome+squadra,0.903,"nome completo -- titolarita' 27%, minuti giocati 13% del possibile",12
Iker Bravo,Udinese,A,20,8,206,1,0,0.46,0.22,1,0,15,0.879,13,True,match su cognome+squadra,0.907,"nome completo -- titolarita' 38%, minuti giocati 6% del possibile",12
Idrissa Guèye,Udinese,A,18,19,421,1,0,2.26,0.16,2,0,15,0.89,13,True,match su cognome+squadra,0.879,"nome completo -- titolarita' 5%, minuti giocati 12% del possibile",11
Pontus Almqvist,Parma,A,26,13,457,0,1,0.34,1.82,0,0,15,0.878,13,True,match su cognome+squadra,0.908,"nome completo -- titolarita' 31%, minuti giocati 13% del possibile",12
Álvarez,Sassuolo,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,13
