nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Yunus Musah,Atalanta,C,MF,USA,22,19,4,574,1,0,0.75,0.11,1,0,3.9670555555555564,3,True,True,False
Nicolò Rovella,Lazio,C,MF,ITA,23,11,6,512,0,1,0.02,1.47,2,1,3.975777777777777,3,True,True,False
Matías Vecino,Lazio,C,MF,URU,33,13,5,603,0,1,0.31,0.51,1,0,4.4915,3,True,True,False
Christian Ordoñez,Parma,C,MF,ARG,21,28,12,1091,1,0,0.45,0.27,5,1,4.514944444444444,3,True,True,False
Matteo Prati,Torino,C,MF,ITA,21,13,7,614,0,1,0.47,0.26,2,0,4.530944444444444,3,True,True,False
Hans Nicolussi Caviglia,Fiorentina,C,MF,ITA,25,11,7,585,0,1,0.12,0.92,4,0,4.718,3,True,True,False
Kostas Tsimikas,Roma,C,MFDF,GRE,29,18,6,644,0,0,0.57,0.08,1,0,2.3706111111111112,2,True,True,False
Sergi Roberto,Como,C,MF,ESP,33,20,5,544,0,0,1.08,0.35,3,0,2.6138888888888885,2,True,True,False
Simon Sohm,Bologna,C,MF,SUI,24,12,9,717,0,0,0.61,0.3,1,0,3.0008333333333335,2,True,True,False
Patric,Lazio,C,MFDF,ESP,32,14,6,667,0,0,0.23,0.31,2,0,2.3337222222222223,2,True,True,False
Aster Vranckx,Sassuolo,C,MF,BEL,22,16,9,690,0,0,0.09,0.1,2,0,2.3308333333333335,2,True,True,False
Zakaria Aboukhlal,Torino,C,MF,MAR,25,15,6,511,0,0,0.41,0.6,4,0,2.3030555555555554,2,True,True,False
Cristiano Biraghi,Torino,C,MFDF,ITA,32,14,5,517,0,0,0.06,0.36,0,0,1.9178888888888888,2,True,True,False
Jacopo Fazzini,Fiorentina,C,MFFW,ITA,22,20,5,584,0,0,0.88,0.72,2,0,2.925777777777778,2,True,True,False
Giovanni Fabbian,Fiorentina,C,MF,ITA,22,15,4,468,0,0,0.72,0.7,2,0,2.4499999999999997,2,True,True,False
Niccolò Fortini,Fiorentina,C,MF,ITA,19,16,2,541,0,0,0.23,0.46,0,0,1.9487222222222222,2,True,True,False
Matteo Darmian,Inter,C,MFDF,ITA,35,6,2,248,0,0,0,0,0,0,0.7111111111111111,1,False,True,False
Luka Topalović,Inter,C,MF,SVN,19,1,0,10,0,1,0,0.16,0,0,2.266222222222222,1,False,True,False
Giovane,Napoli,C,MFFW,BRA,21,12,2,338,0,1,0.56,0.2,0,0,3.6111111111111116,1,False,True,False
Pasquale Mazzocchi,Napoli,C,MF,ITA,30,16,2,310,0,1,0.05,1.14,0,1,3.0123888888888883,1,False,True,False
Angeliño,Roma,C,MFDF,ESP,28,7,5,416,0,0,0.23,0.28,2,0,1.6689444444444441,1,False,True,False
Bryan Zaragoza,Roma,C,MF,ESP,23,4,2,135,0,1,0.18,0.81,1,0,3.3839999999999995,1,False,True,False
Lorenzo Venturino,Roma,C,MF,ITA,19,10,1,207,0,0,0.29,0.44,0,0,1.1535,1,False,True,False
Alessandro Romano,Roma,C,MF,SUI,19,2,0,8,0,0,0,0,0,0,0.017777777777777778,1,False,True,False
Andréa Le Borgne,Como,C,MF,FRA,19,1,0,1,0,0,0,0,0,0,0.0022222222222222222,1,False,True,False
Yunus Musah,Milan,C,MF,USA,22,1,1,90,0,0,0,0.63,0,0,0.8469999999999999,1,False,True,False
