nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Diego Carlos,Cagliari,A,32,27,1949,1,0,1.67,0.05,8,0,12,0.901,11,True,"match su cognome (squadra diversa, trasferimento presunto)"
Camarda,Milan,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fini,Frosinone,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Frigan,Parma,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lisman,Venezia,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Rrahmani,Venezia,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alvini,Frosinone,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Di Francesco,Lecce,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Arkadiusz Milik,Juventus,A,31,2,36,0,0,0.26,0,0,0,10,0.862,9,True,match su cognome+squadra
Luca Moro,Sassuolo,A,24,14,211,0,0,0.83,0.26,1,0,10,0.867,9,True,match su cognome+squadra
Fila,Venezia,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Karlsson,Bologna,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Robinson,Monza,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mattia Felici,Cagliari,A,24,12,412,2,1,1.34,0.76,3,0,9,0.906,8,True,match su cognome+squadra
Okoro,Venezia,A,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lauberbach,Venezia,A,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Paul Mendy,Cagliari,A,18,9,335,2,0,2.39,0.26,1,0,5,0.904,5,True,match su cognome+squadra
Yael Trepy,Cagliari,A,,8,91,1,0,0.6,0.15,0,0,4,0.878,4,True,match su cognome+squadra
Agustín Albarracín,Cagliari,A,19,2,33,0,0,0,0,0,0,5,0.86,4,True,match su cognome+squadra
Rui Modesto,Udinese,A,25,3,119,0,1,0.01,0.44,0,0,5,0.869,4,True,match su cognome+squadra
Antonio Arena,Roma,A,16,2,23,0,0,0.18,0,0,0,3,0.861,3,True,match su cognome+squadra
